DRYBULBTEMPF,RelativeHumidity,WindSpeed,WindDirection,SeaLevelPressure,Precip,VISIBILITY
-1.285227408,1.366307787,-1.84448892,-1.825117859,-0.154009841,0.125046061,6.0
-1.285227408,1.567324639,-1.84448892,-1.825117859,-0.154009841,0.401586764,6.0
-1.285227408,1.567324639,-1.84448892,-1.825117859,-0.154009841,0.401586764,5.0
-1.285227408,1.567324639,-1.84448892,-1.825117859,-0.239455418,0.401586764,5.0
-1.285227408,1.366307787,-1.84448892,-1.825117859,-0.282178207,0.401586764,5.0
-1.285227408,1.366307787,-1.84448892,-1.825117859,-0.239455418,0.401586764,5.0
-1.285227408,1.567324639,-1.84448892,-1.825117859,-0.282178207,-0.151494642,4.0
-1.285227408,1.567324639,-1.352766813,0.682030146,-0.324900996,-0.151494642,1.25
-1.227737042,1.366307787,-1.352766813,0.496315479,-0.367623785,-0.151494642,2.5
-1.170246675,1.215545149,-0.861044706,0.496315479,-0.410346573,-0.151494642,2.5
-1.112756309,1.215545149,-1.024952075,0.589172812,-0.495792151,-0.151494642,5.0
-1.055265943,1.06478251,-1.024952075,0.403458145,-0.623960517,-0.151494642,5.0
-0.940285211,0.863765659,-0.861044706,0.310600812,-0.752128883,-0.151494642,7.0
-0.997775577,0.713003021,-0.861044706,1.239174146,-0.923020038,-0.151494642,8.0
-1.40020814,0.361223531,-0.697137337,0.217743478,-0.709406094,-0.151494642,10.0
-1.40020814,0.361223531,-1.024952075,0.403458145,-0.837574461,-0.151494642,10.0
-1.457698506,0.713003021,-0.861044706,0.403458145,-0.880297249,-0.151494642,10.0
-1.342717774,0.511986169,-0.369322599,0.403458145,-0.880297249,-0.151494642,7.0
-1.515188873,1.215545149,-0.533229968,0.496315479,-0.965742827,-0.151494642,5.0
-1.515188873,1.014528298,-0.041507861,0.496315479,-1.051188404,-0.151494642,4.0
-1.515188873,1.014528298,-0.533229968,0.496315479,-1.093911193,-0.151494642,6.0
-1.515188873,1.014528298,-0.041507861,0.496315479,-1.093911193,-0.151494642,2.0
-1.515188873,1.014528298,-0.20541523,0.589172812,-1.136633982,-0.151494642,2.5
-1.572679239,0.361223531,-1.024952075,0.682030146,0.743168722,-0.151494642,10.0
-1.572679239,0.361223531,-1.84448892,-1.825117859,0.785891511,-0.151494642,10.0
-1.630169605,0.361223531,-1.024952075,0.774887479,0.785891511,-0.151494642,10.0
-1.572679239,0.210460892,-1.352766813,-1.267973858,0.956782666,-0.151494642,10.0
-1.40020814,0.210460892,-1.352766813,-0.989401857,1.042228243,-0.151494642,10.0
-1.170246675,-0.5433523,-1.84448892,-1.825117859,1.127673821,-0.151494642,10.0
-1.112756309,-0.844877577,-1.84448892,-1.825117859,1.127673821,-0.151494642,10.0
-1.055265943,-0.5433523,-1.024952075,-0.153685856,0.914059877,-0.151494642,10.0
-1.342717774,0.059698254,-0.861044706,-0.060828522,0.871337088,-0.151494642,10.0
-1.285227408,0.260715105,-0.533229968,0.032028811,0.914059877,-0.151494642,10.0
-1.285227408,0.260715105,-0.697137337,-0.060828522,0.871337088,-0.151494642,10.0
-1.170246675,0.361223531,-0.041507861,0.032028811,0.914059877,-0.151494642,10.0
-1.227737042,0.713003021,-0.369322599,0.217743478,0.871337088,-0.151494642,10.0
-1.457698506,0.863765659,-0.533229968,0.310600812,0.871337088,-0.151494642,10.0
-1.40020814,0.713003021,-0.533229968,0.310600812,0.8286143,-0.151494642,10.0
-1.457698506,0.713003021,-1.024952075,0.310600812,0.785891511,-0.151494642,10.0
-1.457698506,0.511986169,-0.697137337,0.217743478,0.700445934,-0.151494642,10.0
-1.572679239,1.014528298,-0.533229968,0.217743478,0.700445934,-0.151494642,10.0
-1.572679239,0.813511446,-0.861044706,0.310600812,0.529554779,-0.151494642,10.0
-1.572679239,0.813511446,-0.533229968,0.310600812,0.48683199,-0.151494642,10.0
-1.457698506,0.713003021,-0.041507861,0.124886145,0.444109201,-0.151494642,10.0
-1.342717774,0.511986169,-0.369322599,0.310600812,0.48683199,-0.151494642,10.0
-0.940285211,0.260715105,-0.533229968,0.589172812,0.572277567,-0.151494642,10.0
-0.882794844,0.260715105,-0.697137337,0.589172812,0.572277567,-0.151494642,10.0
-0.882794844,0.411477744,-0.533229968,0.496315479,0.615000356,-0.151494642,10.0
-0.940285211,0.411477744,-1.352766813,0.867744813,0.529554779,-0.151494642,10.0
-1.285227408,0.863765659,-0.697137337,0.124886145,0.48683199,-0.151494642,10.0
-1.227737042,1.014528298,-0.697137337,0.310600812,0.444109201,-0.151494642,9.0
