DRYBULBTEMPF,RelativeHumidity,WindSpeed,WindDirection,SeaLevelPressure,Precip,VISIBILITY
-0.940285211,0.562240382,-0.369322599,1.517746147,-0.752128883,-0.151494642,9.0
-0.825304478,0.260715105,-0.697137337,1.517746147,-0.794851672,-0.151494642,8.0
-0.997775577,0.713003021,-0.697137337,1.424888813,-0.837574461,-0.151494642,9.0
-0.940285211,0.562240382,-0.861044706,1.517746147,-0.837574461,-0.151494642,8.0
-0.882794844,0.260715105,-0.369322599,1.239174146,-0.923020038,-0.151494642,10.0
-0.940285211,0.260715105,-0.369322599,1.053459479,-1.051188404,-0.151494642,10.0
-0.940285211,0.260715105,0.450214246,1.146316813,-1.093911193,-0.151494642,10.0
-0.997775577,0.260715105,-0.369322599,1.146316813,-1.17935677,-0.151494642,10.0
-1.055265943,0.411477744,0.286306877,1.053459479,-1.264802348,-0.151494642,10.0
-1.227737042,1.014528298,0.450214246,1.053459479,-1.307525137,0.125046061,3.0
-1.285227408,0.662748808,0.941936353,1.053459479,-1.392970714,0.125046061,5.0
-1.342717774,0.210460892,1.597565829,1.146316813,-1.392970714,0.125046061,8.0
-1.40020814,0.361223531,1.597565829,1.053459479,-1.392970714,0.125046061,8.0
-1.457698506,0.361223531,1.925380567,1.053459479,-1.392970714,0.125046061,10.0
-1.515188873,0.511986169,1.43365846,1.053459479,-1.435693503,0.125046061,7.0
-1.572679239,0.813511446,1.105843722,1.053459479,-1.478416291,0.125046061,6.0
-1.572679239,0.511986169,1.105843722,1.053459479,-1.52113908,0.125046061,7.0
-1.515188873,0.059698254,1.105843722,1.053459479,-1.52113908,0.125046061,10.0
-1.515188873,-0.19157281,1.925380567,1.053459479,-1.52113908,-0.151494642,10.0
-1.572679239,-0.342335449,2.089287936,1.146316813,-1.52113908,-0.151494642,10.0
-1.572679239,-0.593606513,2.253195305,1.239174146,-1.563861869,-0.151494642,10.0
-1.687659971,-0.091064384,1.925380567,1.146316813,-1.649307446,-0.151494642,7.0
-1.630169605,-0.593606513,2.089287936,1.146316813,-1.692030235,-0.151494642,10.0
-1.630169605,-0.694114938,2.253195305,1.146316813,-1.734753024,-0.151494642,10.0
-1.630169605,-0.794623364,1.597565829,1.053459479,-1.649307446,-0.151494642,10.0
-1.687659971,-0.844877577,2.744917412,1.053459479,-1.606584658,-0.151494642,10.0
-1.802640704,-0.844877577,3.236639519,1.146316813,-1.563861869,-0.151494642,10.0
-1.917621436,-0.744369151,3.400546888,1.053459479,-1.478416291,-0.151494642,10.0
-1.975111802,-0.744369151,1.925380567,1.053459479,-1.435693503,-0.151494642,10.0
-2.090092535,-0.694114938,3.236639519,1.053459479,-1.435693503,-0.151494642,10.0
-2.147582901,-0.643860726,2.253195305,1.053459479,-1.435693503,-0.151494642,10.0
-2.147582901,-0.643860726,1.925380567,1.053459479,-1.52113908,-0.151494642,10.0
-2.205073267,-0.5433523,2.089287936,0.960602146,-1.563861869,-0.151494642,10.0
-2.147582901,-0.643860726,2.908824781,0.960602146,-1.649307446,-0.151494642,10.0
-2.147582901,-0.643860726,3.07273215,0.960602146,-1.777475813,-0.151494642,10.0
-2.147582901,-0.643860726,3.07273215,0.867744813,-1.820198601,-0.151494642,10.0
-2.147582901,-0.643860726,1.597565829,0.867744813,-1.905644179,-0.151494642,10.0
-2.147582901,-0.643860726,1.761473198,0.867744813,-2.033812545,-0.151494642,10.0
-2.147582901,-0.643860726,1.925380567,0.960602146,-2.119258122,-0.151494642,10.0
-2.090092535,-0.794623364,2.089287936,0.867744813,-2.2047037,-0.151494642,10.0
-2.090092535,-0.694114938,2.417102674,0.960602146,-2.290149277,-0.151494642,10.0
-2.032602168,-0.643860726,1.925380567,0.960602146,-2.332872066,-0.151494642,10.0
-1.975111802,-0.744369151,1.761473198,0.960602146,-2.290149277,-0.151494642,10.0
-1.917621436,-0.844877577,1.761473198,1.053459479,-2.290149277,-0.151494642,10.0
-1.86013107,-0.844877577,1.761473198,1.053459479,-2.290149277,-0.151494642,8.0
-1.917621436,-0.945386002,3.564454257,1.053459479,-2.375594855,-0.151494642,10.0
-1.86013107,-1.045894428,2.908824781,1.053459479,-2.375594855,-0.151494642,10.0
-1.86013107,-0.493098087,2.908824781,1.053459479,-2.332872066,-0.151494642,6.0
-1.975111802,-0.392589661,3.236639519,1.146316813,-2.247426489,-0.151494642,10.0
-1.975111802,-0.392589661,3.236639519,1.053459479,-2.119258122,-0.151494642,10.0
-2.032602168,-0.241827023,2.089287936,1.053459479,-1.991089756,-0.151494642,9.0
-1.975111802,-0.292081236,3.07273215,1.053459479,-1.86292139,-0.151494642,10.0
